,altitude,longitude,latitude,srf_salt,srf_crust,bare_soil,crop_type
12224,1629,29.4332092,-27.2327048,No,No,Yes,Cereals
12225,1613,29.433152,-27.2296274,No,No,Yes,Cereals
12229,1756,29.6226396,-27.453666,No,No,Yes,Fibre crops
12230,1754,29.6241666,-27.455072,No,No,Yes,Oilcrops
12231,1754,29.6278521,-27.455207,No,No,Yes,Fibre crops
12232,1117,28.2933659,-24.9848675,No,No,No,Fibre crops
12233,1113,28.2953024,-24.9839395,No,No,Yes,Oilcrops
12234,1117,28.2937417,-24.9813013,No,No,No,Cereals
12235,1113,28.2973458,-24.9942022,No,No,No,Oilcrops
12236,1095,28.5139689,-24.9325096,No,No,No,Fibre crops
12237,1091,28.525282,-24.9303022,No,No,No,Oilcrops
12238,1097,28.5208825,-24.9293739,No,No,No,Oilcrops
12239,1086,28.531844,-24.9367637,No,No,No,Oilcrops
12244,925,27.2131581,-24.5729164,No,No,No,Fodder plants
12245,921,27.210967,-24.5717531,No,No,No,Fodder plants
12246,926,27.2115552,-24.5764036,No,No,No,Cereals
12247,930,27.206263,-24.581123,No,No,No,Cereals
12248,1739,29.9003876,-23.8322092,No,No,No,Fruits
12256,967,29.232869,-25.058444,No,No,No,Cereals
12257,969,29.2322584,-25.0569687,No,No,No,Cereals
12259,976,29.234416,-25.0609599,No,No,No,Fruits
12260,294,0.9194807,7.359589,No,No,No,Cereals
12261,283,0.918763,7.3622619,No,No,No,Cereals
12262,297,0.9126606,7.3551466,No,No,No,Oilcrops
12263,320,0.9099576,7.354673,No,No,No,"Other crops (e.g., rubber)"
12268,221,0.6445602,9.0998427,No,No,No,Cereals
12272,112,0.4927109,8.7606731,No,No,No,Cereals
12274,162,0.4896739,8.7490739,No,No,No,Cereals
12276,259,1.1789059,8.1051096,No,No,No,Cereals
12278,270,1.1747108,8.1158856,No,No,No,Cereals
12279,257,1.1810554,8.1115035,No,No,No,Cereals
12280,324,1.1647418,8.5056695,No,No,No,Cereals
12281,343,1.2285802,8.7203248,No,No,No,Cereals
12282,329,1.2355396,8.7185088,No,No,No,Cereals
12283,335,1.2344084,8.7153027,No,No,No,Cereals
12284,315,1.2407314,8.7142571,No,No,No,Cereals
12285,323,1.1551174,8.5058934,No,No,No,Cereals
12286,325,1.1550041,8.501664,No,No,No,Cereals
12287,326,1.1635232,8.5037335,No,No,No,Cereals
12288,384,1.516661,8.8933661,No,No,No,Cereals
12289,381,1.5134667,8.8960615,No,No,No,Cereals
12290,379,1.5187852,8.8964318,No,No,No,Cereals
12291,371,1.5138503,8.9069608,No,No,No,Cereals
12293,287,1.0741867,9.595126,No,No,No,Cereals
12294,280,1.0725123,9.5969407,No,No,No,Cereals
12295,297,1.0825637,9.5993355,No,No,No,Cereals
12296,420,1.3795875,9.2710944,No,No,No,Roots and tubers
12297,432,1.3774325,9.2771134,No,No,No,Cereals
12298,424,1.378089,9.28128,No,No,No,Cereals
12299,404,1.3825449,9.2676683,No,No,No,Roots and tubers
12300,226,0.8940878,9.7338091,No,No,No,Cereals
12301,242,0.9056199,9.7286113,No,No,No,Roots and tubers
12302,224,0.904227,9.7215437,No,No,No,Cereals
12303,212,0.89552,9.7199857,No,No,No,Roots and tubers
12304,448,1.12161,9.8545067,No,No,No,Cereals
12305,448,1.1245389,9.854216,No,No,No,Cereals
12306,437,1.12458,9.8437317,No,No,No,Cereals
12307,434,1.124749,9.8489201,No,No,No,Cereals
12308,205,0.8531783,10.2252717,No,No,No,Cereals
12309,212,0.8526956,10.2243219,No,No,No,Cereals
12310,199,0.8465783,10.220985,No,No,No,Cereals
12311,209,0.847065,10.2275983,No,No,No,Cereals
12312,186,0.7690567,10.2269483,No,No,No,Cereals
12313,178,0.7663038,10.2257956,No,No,No,Cereals
12314,184,0.7657943,10.229964,No,No,No,Cereals
12315,179,0.768845,10.230442,No,No,No,Cereals
12316,206,1.0387224,10.0225553,No,No,No,Cereals
12317,207,1.0444761,10.0251831,No,No,No,Cereals
12318,203,1.0454013,10.0219395,No,No,No,Cereals
12319,209,1.0358344,10.0297794,No,No,No,Cereals
12320,241,0.3471681,10.8366596,No,No,No,Cereals
12323,268,0.3328644,10.8451357,No,No,No,Cereals
12324,223,0.3376796,10.8391923,No,No,No,Cereals
12325,245,0.1721148,10.6123252,No,No,No,Cereals
12326,259,0.1705282,10.6065368,No,No,No,Cereals
12327,258,0.1816469,10.6039617,No,No,No,Cereals
12329,263,0.3315303,10.8556657,No,No,No,Cereals
12330,293,0.3373412,10.8654071,No,No,No,Cereals
12331,240,0.17518,10.6124562,No,No,No,Cereals
12332,193,0.4300161,10.472899,No,No,No,Cereals
12333,187,0.4312588,10.4745771,No,No,No,Cereals
12334,189,0.4311365,10.475078,No,No,No,Cereals
12335,186,0.4318308,10.4769424,No,No,No,Cereals
